,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,STEREO-A,STEREO-A,STEREO-A,STEREO-A,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter
,r_dist,vsw,foot_long,foot_long_error,r_dist,vsw,foot_long,foot_long_error,r_dist,vsw,foot_long,foot_long_error,r_dist,vsw,foot_long,foot_long_error
Time,,,,,,,,,,,,,,,,
2021-05-28 22:30:00,0.685411326545347,399.61837615966795,103.73951917945246,4.476173506592786,1.0040473184208798,387.1666666666667,65.0483276345478,7.024472924666112,0.963642968940665,383.1034482758621,11.934029222025536,6.83268471733211,0.9509562898779451,379.8976225011489,-36.05239847845604,6.915191709459983
2021-05-28 22:45:00,0.6855086312360457,398.6012122575627,103.85267445397054,4.500231664143297,1.0040495511491359,387.55555555555554,64.98349119721878,7.01004835124063,0.9636419845669352,384.8181818181818,11.657321612670628,6.770386835053754,0.9509614715389458,379.6835080813738,-36.01755879161037,6.9232345634771635
2021-05-28 23:00:00,0.6856058811266882,397.2268368995796,104.00500152083185,4.532817419875747,1.0040517831399414,387.9166666666667,64.92341502156512,6.996695577121455,0.9636410001256014,384.5593220338983,11.700116866117618,6.779743521230146,0.9509666419997569,378.54535273632973,-35.82987735724537,6.966063841948554
2021-05-28 23:15:00,0.6857030762308837,397.2268368995796,104.00925122278517,4.533462482168798,1.0040540147341541,387.9166666666667,64.92359372468663,6.996714986545704,0.9636400156166829,384.5593220338983,11.701143526131759,6.779749816159416,0.9509718012603676,378.54535273632973,-35.83029861816898,6.9661010339395215
2021-05-28 23:30:00,0.6858002165622715,391.2923583984375,104.66508134260981,4.6760961918190125,1.0040562458622062,384.3333333333333,65.5267052580436,7.13115875186496,0.9636390310402244,388.3448275862069,11.096900580659934,6.644936045171188,0.9509769493207675,357.49147657007956,-32.13510605943286,7.835804827601058
2021-05-28 23:45:00,0.6858973021344517,391.64823550269716,104.62977592725228,4.66805647294799,1.0040584763670353,384.22222222222223,65.54576082633072,7.13540897227356,0.963638046396323,384.8636363636364,11.65409958714502,6.7687721059747545,0.9509820861809463,356.43122664308237,-31.93785449776317,7.883920998061868
2021-05-29 00:00:00,0.6859943329609891,391.8970734168743,104.60641962415002,4.662646840017237,1.0040607064187745,384.5,65.4987727051352,7.124859680320771,0.9636370616849436,381.4655172413793,12.207818266197407,6.893049866673812,0.9509872118408937,354.89114704007415,-31.64904633798959,7.954593783122688
2021-05-29 00:15:00,0.6860913090554824,391.8970734168743,104.61072950879272,4.663308503005555,1.0040629357558235,384.5,65.49895255818844,7.124879409964015,0.9636360769061333,381.4655172413793,12.208845577540579,6.893056274859732,0.950992326300599,354.89114704007415,-31.649448689973156,7.954635874654069
2021-05-29 00:30:00,0.6861882304314895,394.68139113041394,104.30765344752396,4.596809854661066,1.0040651649432073,380.3333333333333,66.21389374274189,7.285959830387881,0.963635092059964,376.2,13.086014847454663,7.092553754155798,0.9509974295600526,344.58970223221127,-29.648847211261554,8.45276320994834
2021-05-29 00:45:00,0.6862850971025617,393.15601834383875,104.47978939873266,4.63407719130321,1.0040673931723334,381.6666666666667,65.98365309237862,7.233846510836976,0.9636341071463992,374.68888888888887,13.343028167862478,7.151424827905012,0.9510025216192426,343.53202680201315,-29.436998109585133,8.506606344527146
