,PSP,PSP,PSP,PSP,PSP,PSP,SOHO,SOHO,SOHO,SOHO,SOHO,SOHO,STEREO-A,STEREO-A,STEREO-A,STEREO-A,STEREO-A,STEREO-A,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter,Solar Orbiter
,Flux,Uncertainty,r_dist,vsw,foot_long,foot_long_error,Flux,Uncertainty,r_dist,vsw,foot_long,foot_long_error,Flux,Uncertainty,r_dist,vsw,foot_long,foot_long_error,Flux,Uncertainty,r_dist,vsw,foot_long,foot_long_error
Time,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28 08:00:00,,,,,,,8.753333240747452e-05,0.0002858750452757959,,,,,0.0012042198330163955,0.0012042198330163955,,,,,0.0,0.0,,,,
2021-05-28 08:15:00,0.0,0.0,,,,,8.940000067620228e-05,0.0002660235676641858,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 08:30:00,0.00023508913194139798,0.00023508913194139798,,,,,0.00016259999538306146,0.00029785991777342815,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 08:45:00,0.0002337436346958081,0.0002337436346958081,,,,,0.00020826666635305932,0.0002622298240665245,,,,,0.0,0.0,,,,,0.00046121800939242044,0.00046121800939242044,,,,
2021-05-28 09:00:00,0.0,0.0,,,,,0.00012006666705322762,0.00026216447199197784,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 09:15:00,0.0,0.0,,,,,0.00023853333453492572,0.0002964199309684874,,,,,0.0,0.0,,,,,0.00046121800939242044,0.00046121800939242044,,,,
2021-05-28 09:30:00,0.0002792131466170152,0.0002792131466170152,,,,,0.00019346666425311317,0.000308491704914252,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 09:45:00,0.0,0.0,,,,,0.00017953333250867823,0.00029476584981673467,,,,,0.0012042198330163955,0.0012042198330163955,,,,,0.0,0.0,,,,
2021-05-28 10:00:00,0.0002792084589600563,0.0002792084589600563,,,,,5.933333401723454e-05,0.00024474999881931583,,,,,0.0,0.0,,,,,0.00045601632446050643,0.00045601632446050643,,,,
2021-05-28 10:15:00,0.0,0.0,,,,,0.00011693333605459581,0.00027517238287617083,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 10:30:00,0.0,0.0,,,,,0.0002211333349502335,0.0002777769251375741,,,,,0.0012042198330163955,0.0012042198330163955,,,,,0.0,0.0,,,,
2021-05-28 10:45:00,,,,,,,0.00020446666167117655,0.0002790884447424095,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 11:00:00,,,,,,,0.00013073333054004858,0.00031110006933410185,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 11:15:00,,,,,,,0.0001907999957135568,0.00028475271145346086,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 11:30:00,,,,,,,0.00010313333089773853,0.0003121035573231491,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 11:45:00,,,,,,,0.00014813333206499616,0.0002698030081053041,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 12:00:00,,,,,,,0.00010186666622757912,0.00027627898656247253,,,,,0.0012071085472901662,0.0012071085472901662,,,,,0.0,0.0,,,,
2021-05-28 12:15:00,,,,,,,0.00011786666582338511,0.00029847329954483875,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 12:30:00,,,,,,,0.0001325333306643491,0.00027194307870731396,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 12:45:00,,,,,,,0.00014886666904203593,0.0002571352799088464,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 13:00:00,,,,,,,0.00012093333449835579,0.00026347091119787304,,,,,0.0,0.0,,,,,0.00045601632446050643,0.00045601632446050643,,,,
2021-05-28 13:15:00,,,,,,,0.00020780000389398386,0.0003018171596665628,,,,,0.0,0.0,,,,,0.00045601632446050643,0.00045601632446050643,,,,
2021-05-28 13:30:00,,,,,,,0.00022353332994195322,0.0003285727012252197,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 13:45:00,,,,,,,5.9999999939464034e-05,0.00028113564752864974,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 14:00:00,,,,,,,0.0002376000105869025,0.0003004913432026378,,,,,0.0,0.0,,,,,0.0,0.0,,,,
2021-05-28 14:15:00,,,,,,,0.0001336000064232697,0.00035090268015564475,,,,,0.0,0.0,,,,,0.0,0.0,,,,
