Spacecraft/Body,Spacecraft/Body,Stonyhurst longitude (°),Stonyhurst latitude (°),Heliocentric distance (AU),Longitudinal separation to Earth's longitude,Latitudinal separation to Earth's latitude,Vsw,Magnetic footpoint longitude (Stonyhurst),Longitudinal separation between body and reference_long,Longitudinal separation between body's magnetic footpoint and reference_long,Latitudinal separation between body and reference_lat
Earth,Earth,-2.3236136144078046e-06,-1.036851770582306,1.0134948808964137,0.0,0.0,371.2900085449219,68.20109128674353,-67.00000232361361,1.2010912867435337,-20.036851770582306
PSP,PSP,61.059695277224506,3.108279916975472,0.6853399349357799,61.05969760083812,4.145131687557778,394.72064017303717,104.2659549604875,-5.940304722775494,37.265954960487505,-15.891720083024527
Solar Orbiter,Solar Orbiter,-98.57809112483642,-0.9435888936427465,0.9509524828748745,-98.5780888012228,0.09326287693955948,361.98586347991346,-32.9581831997038,-165.57809112483642,-99.9581831997038,-19.943588893642747
STEREO-A,STEREO-A,-50.39540100414399,-6.234611431333436,0.9636436907717845,-50.39539868053038,-5.19775966075113,371.3965517241379,13.897956273781361,-117.39540100414399,-53.10204372621864,-25.234611431333434
BepiColombo,BepiColombo,-110.73336619334037,-3.4103112401489146,0.7988048689287154,-110.73336386972676,-2.3734594695666087,400.0,-61.011137581871914,-177.73336619334037,-128.0111375818719,-22.410311240148914
